date,debit_massique_de_la_pulpe_a_lentree_thickener,debit_volumique_de_pulpe_a_lentree_thikner_,debit_massique_de_la_pulpe_sortie_thickener_,debit_volumique_de__de_la_pulpe_sortie_thikner__thickener_,debit_pompe_de_circulation_,densite_pulpe__pompe_de_circulation,densite_pulpe_sortie__thickener,densite_pulpe_entre__thickener,debit_de_floculent_p1,debit_de_floculent_p2,pression_du_lit_de_pulpe_de_phosphate,couple_de_racleur,niveau_du_lit,turbidite_deau_claire_du_thickener
2024-03-01 00:26:00,266.6234269,447.2483467,258.9898843,256.294351,312.0057883,1650.580214,1656.01385,1500.0,2689.350251,14.13725838,1.248384759,13.66359077,2.392268181,92.61674272
2024-03-01 00:27:00,264.2431331,462.6901026,257.2868884,254.6275343,315.3798953,1652.082118,1654.845511,1500.0,2633.220661,0.421323933,1.246972181,13.76386325,2.392268181,98.96241694
2024-03-01 00:28:00,254.7497976,462.0924425,251.552081,253.1005246,309.957316,1653.882351,1655.557502,1500.0,2629.07737,9.225949563,1.246795211,13.56998028,2.392241975,93.26387091
2024-03-01 00:29:00,254.3289665,459.3887088,254.022071,249.9837576,319.1459745,1656.78311,1656.615651,1500.0,2688.477294,0.535138554,1.248281568,13.59554398,2.392081654,96.81991095
2024-03-01 00:30:00,257.7186481,464.5869286,262.1983843,250.8507167,316.9117407,1654.545775,1655.90115,1500.0,2642.947795,11.19962534,1.247193499,13.70233628,2.391035557,109.3380347
2024-03-01 00:31:00,264.4515566,470.1307194,257.0529218,254.3194632,310.9237156,1652.138471,1654.745828,1500.0,2678.781276,9.139982662,1.245645254,13.53690986,2.391045683,95.55075299
2024-03-01 00:32:00,267.485122,475.8384881,257.7580342,256.097321,314.1306557,1652.194194,1656.089654,1500.0,2675.420358,6.139135427,1.246760472,13.51359531,2.391778927,80.76891158
2024-03-01 00:33:00,256.8563365,466.8044494,261.6112144,256.038582,308.8700957,1652.193783,1655.114668,1500.0,2638.695325,0.298427329,1.248171377,13.68511072,2.391511257,100.8616447
2024-03-01 00:34:00,252.3663339,467.3756416,256.6142587,255.5218269,316.0800985,1651.964696,1653.586032,1500.0,2702.839014,0.379918945,1.244761979,13.61543017,2.390679844,98.80457239
2024-03-01 00:35:00,258.8342157,464.1525055,262.7504559,252.8906768,310.7812373,1654.80566,1655.979924,1500.0,2738.462507,4.640338123,1.246579763,13.42719214,2.389882501,83.95000985
2024-03-01 00:36:00,258.4948824,466.3094401,255.3083008,249.6474806,318.2660054,1656.755576,1656.041767,1500.0,2668.606261,25.09115216,1.248049918,13.56386546,2.389297183,93.89905626
2024-03-01 00:37:00,260.3619297,452.7427474,259.250999,251.6563991,316.7502038,1654.347298,1655.713746,1500.0,2697.712277,0.313925912,1.244305047,13.61533663,2.387370717,92.23670911
2024-03-01 00:38:00,260.6963272,470.2951562,254.784715,254.6239524,308.2248057,1652.203948,1656.07065,1500.0,2679.788823,0.372949211,1.245042008,13.41142204,2.384684224,102.8887458
2024-03-01 00:39:00,263.9139382,454.9974915,258.4553233,255.7847793,318.1121815,1652.064152,1657.950023,1500.0,2679.347921,5.166832888,1.247065594,13.50775155,2.383100463,90.11188855
2024-03-01 00:40:00,265.9276001,466.3642061,258.6224239,255.6721918,308.1067999,1651.840322,1656.214594,1500.0,2666.740068,0.738454983,1.247224235,13.6880988,2.381944283,89.9803418
2024-03-01 00:41:00,261.7809186,471.3233906,255.2969993,254.7031757,313.2689541,1652.828988,1655.683236,1500.0,2684.746476,0.370418585,1.245086298,13.49253762,2.381328674,96.03515102
2024-03-01 00:42:00,259.5029598,475.8589338,258.8711811,250.0372033,318.6809708,1654.314946,1658.426678,1500.0,2692.000219,4.649179209,1.246781757,13.49115722,2.380793106,79.01481411
2024-03-01 00:43:00,262.683549,470.5436096,259.5993717,248.7736292,315.155631,1654.118556,1656.720195,1500.0,2709.257008,0.340715702,1.248068264,13.6464494,2.380791789,91.6670227
2024-03-01 00:44:00,267.9036252,465.0340667,260.0654048,252.2732434,313.2901387,1652.054142,1655.625386,1500.0,2636.037151,0.305012407,1.244191418,13.48750932,2.380775415,95.90167567
2024-03-01 00:45:00,258.6496194,474.6273748,257.2453321,255.3125044,312.2493258,1651.510508,1656.098381,1500.0,2685.237571,0.315815687,1.245228379,13.31145125,2.380774373,96.49978938
2024-03-01 00:46:00,253.6506471,481.1853713,256.7478408,255.9637601,314.0109669,1651.518391,1656.11482,1500.0,2643.491849,5.00260203,1.247257334,13.55755249,2.379578511,106.1782848
2024-03-01 00:47:00,256.2908649,466.4571693,260.5708482,255.3959724,315.3741099,1651.821267,1654.740526,1500.0,2648.470058,3.561010999,1.244948217,13.57053954,2.377572038,95.83836163
2024-03-01 00:48:00,263.4349082,478.6415804,250.7727174,253.3710849,313.3348761,1654.522014,1654.739757,1500.0,2633.339234,0.373901786,1.245128787,13.37594407,2.377795247,84.07505327
2024-03-01 00:49:00,270.2017267,467.1505567,261.8844615,248.3402751,318.620359,1657.478575,1656.101653,1500.0,2629.073483,0.486701426,1.246765626,13.46375836,2.378543773,83.26397932
2024-03-01 00:50:00,263.3461146,466.2818979,256.2815592,250.9509305,315.6111031,1655.542258,1655.468047,1500.0,2644.910921,0.434108545,1.245168853,13.53783714,2.378758133,106.0685491
2024-03-01 00:51:00,255.1000293,486.2968318,250.2330166,255.6379587,310.7155173,1652.946147,1654.591352,1500.0,2651.324248,0.372660273,1.243214058,13.31852643,2.379620892,100.5294373
2024-03-01 00:52:00,257.327637,474.0774989,251.6965537,256.9818871,317.7795407,1651.822247,1656.094183,1500.0,2673.168923,0.353198581,1.244873638,13.32959928,2.380731532,85.71799611
2024-03-01 00:53:00,256.8171909,448.5763656,266.8625315,255.2720824,305.3901765,1652.732456,1654.600112,1500.0,2658.101883,19.04009794,1.246246267,13.52814666,2.380466861,103.0197227
2024-03-01 00:54:00,260.5339214,461.3934611,241.82301,254.5091962,316.5728961,1654.042274,1653.505077,1500.0,2693.531495,0.805771697,1.242647813,13.41971812,2.379664051,106.5843182
2024-03-01 00:55:00,263.822431,482.9193431,257.6547109,252.2444956,313.9819428,1654.812587,1655.549992,1500.0,2660.144742,11.5382201,1.244744876,13.28574426,2.378633179,88.66184286
2024-03-01 00:56:00,264.4053271,474.9687701,263.5548679,250.5392544,315.5835655,1656.408998,1656.066473,1500.0,2636.968914,0.335648251,1.246129381,13.43535079,2.378176191,101.2093129
2024-03-01 00:57:00,270.5388473,471.4737917,251.0881371,253.3325776,317.6787176,1653.731867,1654.575707,1500.0,2707.400082,22.79901423,1.242653059,13.4132661,2.374742643,105.7317284
2024-03-01 00:58:00,260.0262372,466.8579256,255.6654365,256.078684,308.5326197,1651.430563,1656.049178,1500.0,2719.167371,5.36107803,1.24284209,13.24554211,2.372926372,86.74127412
2024-03-01 00:59:00,257.7508247,467.9978328,263.0731023,255.9862605,318.8489725,1650.903399,1656.07939,1500.0,2647.589983,0.42924387,1.244919012,13.35442482,2.372520347,89.79777242
2024-03-01 01:00:00,254.1796062,454.1335234,256.0010672,254.3224979,309.9311795,1651.672078,1654.151301,1500.0,2621.290378,0.356867701,1.243721106,13.44273574,2.371843646,94.55240639
2024-03-01 01:01:00,256.7803201,458.2072928,251.374658,253.8066478,312.9241568,1652.396188,1654.321997,1500.0,2692.038484,6.980440314,1.24256851,13.29000719,2.372868067,95.28635222
2024-03-01 01:02:00,262.1792048,470.778883,255.6783384,251.6994835,316.9461387,1655.34767,1656.085708,1500.0,2619.467622,0.391136626,1.244115256,13.28548199,2.374762741,82.84272203
2024-03-01 01:03:00,266.7711806,478.2316229,263.1059265,252.2641442,315.2691478,1656.415927,1654.735294,1500.0,2626.4877,0.320158404,1.244441331,13.36668541,2.375310927,102.4019226
2024-03-01 01:04:00,262.2414525,481.4073219,250.7368956,255.9372025,316.0780541,1653.164029,1653.628998,1500.0,2621.549597,11.76731376,1.240990181,13.30846366,2.37620576,97.46340847
2024-03-01 01:05:00,251.9401253,478.521756,257.9604829,258.0433659,313.548771,1651.594108,1655.225397,1500.0,2598.478126,0.370670751,1.242630786,13.18498218,2.376591522,79.81423428
